"";"";"";"";"HT1_Las herramientas tecnol�gicas usadas en el curso (SICUA) han funcionado de manera adecuada.";""
"";"";"";"";"HT2_Las herramientas tecnol�gicas usadas en el curso (SICUA) han sido f�ciles de usar.";""
"";"";"";"";"HT3_Los contenidos en la plataforma se han organizado de una manera que facilita su navegaci�n.";""
"";"";"";"";"O1_Los contenidos han estado disponibles en�la plataforma de manera oportuna.";""
"";"";"";"";"O2_He tenido claridad sobre los momentos en los que ocurren las actividades durante el curso.";""
"";"";"";"";"O3_La distribuci�n de las actividades en el tiempo ha sido adecuada.";""
"";"";"";"";"O4_He tenido claro a qui�n dirigirme en caso de que se me presenten dificultades tecnol�gicas.";""
"";"";"";"";"O5_He recibido respuesta oportuna para resolver mis inquietudes sobre las actividades del curso.";""
"";"";"";"";"O6_He recibido respuesta satisfactoria para resolver mis inquietudes sobre las actividades del curso.";""
"";"";"";"";"O7_He recibido respuesta oportuna cuando he solicitado apoyo para resolver dificultades tecnol�gicas.";""
"";"";"";"";"O8_He recibido respuesta satisfactoria cuando he solicitado apoyo para resolver dificultades tecnol�gicas.";""
"";"";"";"";"O9_Gracias a las indicaciones recibidas en el curso (capacitaciones, tutoriales, instructivos, etc.) he podido usar las herramientas tecnol�gicas sin mayores dificultades.";""
"";"";"";"";"Response";""
"";"";"";"";"";""
"";"";"";"";"C1_Las instrucciones para el uso de las herramientas tecnol�gicas han sido claras.";""
"";"";"";"";"C2_Las instrucciones para el desarrollo de cada una de las actividades han sido claras.";""
"";"";"";"";"C3.1_Los recursos de aprendizaje seleccionados para el curso (Videos) han sido pertinentes para mi aprendizaje.";""
"";"";"";"";"C3.2_Los recursos de aprendizaje seleccionados para el curso (Recursos Interactivos) han sido pertinentes para mi aprendizaje.";""
"";"";"";"";"C4.1_La informaci�n contenida en los recursos de aprendizaje (Videos) ha sido clara.";""
"";"";"";"";"C4.2_La informaci�n contenida en los recursos de aprendizaje (Recursos Interactivos) ha sido clara.";""
"";"";"";"";"C5.1_La informaci�n contenida en los recursos de aprendizaje (Videos) ha sido suficiente.";""
"";"";"";"";"C5.2_La informaci�n contenida en los recursos de aprendizaje (Recursos Interactivos) ha sido suficiente.";""
"";"";"";"";"C6_El uso de recursos de aprendizaje en diferentes formatos ha contribuido a mi proceso de aprendizaje en este curso.";""
"";"";"";"";"A1_Las actividades desarrolladas en los diferentes espacios del curso (actividades de preparaci�n de clase, clase presencial, laboratorio, clase complementaria) se han articulado, integrado y complementado entre s�.";""
