,"respondent_id;""collector_id"";""date_created"";""date_modified"";""ip_address"";""email_address"";""first_name"";""last_name"";""custom_1"";""Apreciado estudiante",Unnamed: 1
El objetivo de esta encuesta es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso Est�tica�con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar," por favor marque �S� y luego haga clic en el bot�n ""Sig."" que aparece abajo. En caso de que no desee participar", por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co,
"Gracias por su colaboraci�n."";""CR_Por favor escriba su c�digo de estudiante."";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";""O10_En promedio"," �cu�ntas horas por semana ha tenido que dedicar a las actividades fuera de clase?"";""O11_�C�mo considera la carga acad�mica del curso?"";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:"";""A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje."";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado."";",
"6869442897;""173946095"";""43227","35764"";""43227","36041"";""181.146.76.208"";""Login estudiante25699"";"""";"""";"""";""1"";""Codest25700"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";"
"6869054369;""173946095"";""43226","98247"";""43226","98478"";""181.49.78.143"";""Login estudiante9596"";"""";"""";"""";""1"";""Codest25701"";""4"";""5"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""4"";""5"";""5"";""4"";""5"";""4"";""5"";""4"";""5"";""5"";""4"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""5"";""4"";""5"";"
"6864691451;""173946095"";""43222","67567"";""43222","68072"";""186.30.75.228"";""Login estudiante19515"";"""";"""";"""";""1"";""Codest25702"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""3"";""3"";""4"";""2"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""0"";""4"";""5"";""2"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""1"";"
"6864103942;""173946095"";""43222","43378"";""43222","43449"";""186.28.11.121"";""Login estudiante6345"";"""";"""";"""";""1"";""Codest25703"";""4"";""4"";""4"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"
"6863343695;""173946095"";""43221","97927"";""43221","99865"";""186.80.239.181"";""Login estudiante4082"";"""";"""";"""";""1"";""Codest25704"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""0"";""0"";""0"";""7"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""2"";""3"";""3"";""3"";""3"";""4"";""4"";""3"";""3"";""3"";""5"";""5"";""4"";""3"";""3"";""3"";""3"";""4"";""4"";"
"6863298167;""173946095"";""43221","93066"";""43221","93219"";""186.80.235.45"";""Login estudiante10726"";"""";"""";"""";""1"";""Codest25705"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""7"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";"
"6859598548;""173946095"";""43219","57796"";""43219","60082"";""200.122.250.74"";""Login estudiante9430"";"""";"""";"""";""1"";""Codest25706"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""6"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""2"";""5"";""4"";""2"";""5"";""5"";""4"";""4"";""5"";""2"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";"
"6858750682;""173946095"";""43218","44794"";""43218","45093"";""190.217.16.71"";""Login estudiante9375"";"""";"""";"""";""1"";""Codest25707"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""3"";""3"";""4"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""3"";""4"";""0"";""4"";""3"";""3"";""3"";""3"";""3"";""4"";""3"";""3"";""3"";""3"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""3"";""4"";"
"6857245222;""173946095"";""43217","36498"";""43217","37289"";""200.122.250.74"";""Login estudiante13342"";"""";"""";"""";""1"";""Codest25708"";""5"";""5"";""5"";""3"";""4"";""4"";""3"";""4"";""4"";""3"";""3"";""4"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""4"";""4"";""3"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""2"";""3"";""3"";""4"";""4"";"
"6855705715;""173946095"";""43216","53532"";""43216","56512"";""157.253.100.122"";""Login estudiante9449"";"""";"""";"""";""1"";""Codest24548"";""3"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""2"";""4"";""5"";""3"";""5"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""4"";""4"";""3"";""4"";"
