,"respondent_id;""collector_id"";""date_created"";""date_modified"";""ip_address"";""email_address"";""first_name"";""last_name"";""custom_1"";""Apreciado estudiante",Unnamed: 1
El objetivo de esta encuesta es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso Principios de Optimizaci�n (M�dulo 3)��con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar," por favor marque �S� y luego haga clic en el bot�n ""Sig."" que aparece abajo. En caso de que no desee participar", por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co,
"Gracias por su colaboraci�n."";""CR_Por favor escriba su c�digo de estudiante."";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";""O10.A_En promedio"," �cu�ntas horas por semana ha tenido que dedicar a las actividades fuera de clase?"";""O11_�C�mo considera la carga acad�mica del curso?"";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:"";""A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje."";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado."";",
"6868159296;""173968452"";""2018-05-05 9:43:53"";""2018-05-05 9:47:25"";""186.145.66.147"";""Login estudiante13418"";"""";"""";"""";""1"";""Codest25084"";""3"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""10"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";",,
"6865979184;""173968452"";""2018-05-03 12:29:34"";""2018-05-03 12:45:37"";""181.59.233.207"";""Login estudiante13620"";"""";"""";"""";""1"";""Codest24982"";""5"";""5"";""5"";""4"";""3"";""4"";""2"";""4"";""4"";""4"";""4"";""3"";""6"";""4"";""3"";""3"";""4"";""4"";""2"";""3"";""3"";""5"";""2"";""1"";""3"";""5"";""3"";""3"";""2"";""3"";""4"";""4"";""3"";""3"";""3"";""4"";""4"";""3"";""2"";""2"";""2"";""2"";""2"";""5"";",,
"6865834077;""173968452"";""2018-05-03 11:04:05"";""2018-05-03 11:09:26"";""181.57.246.239"";""Login estudiante19511"";"""";"""";"""";""1"";""Codest25139"";""4"";""4"";""4"";""4"";""4"";""2"";""4"";""4"";""5"";""0"";""0"";""5"";""10"";""5"";""5"";""3"";""4"";""4"";""4"";""4"";""5"";""3"";""5"";""3"";""5"";""4"";""2"";""2"";""3"";""3"";""4"";""2"";""3"";""2"";""3"";""5"";""5"";""3"";""5"";""5"";""4"";""5"";""3"";""5"";",,
"6865824130;""173968452"";""2018-05-03 10:58:27"";""2018-05-03 11:00:33"";""190.242.72.253"";""Login estudiante10186"";"""";"""";"""";""1"";""Codest26073"";""4"";""5"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,
"6865611430;""173968452"";""2018-05-03 9:05:27"";""2018-05-03 9:09:11"";""157.253.132.142"";""Login estudiante13563"";"""";"""";"""";""1"";""Codest25142"";""5"";""4"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""4"";""5"";""4"";""6"";""5"";""5"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""3"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""4"";""4"";""5"";",,
"6864973948;""173968452"";""2018-05-02 21:25:29"";""2018-05-02 21:46:32"";""191.92.113.180"";""Login estudiante13677"";"""";"""";"""";""1"";""Codest24974"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""5"";""4"";""5"";""6"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""5"";""4"";""4"";""3"";""2"";""4"";""3"";""1"";""4"";""2"";""3"";""3"";""2"";""3"";""4"";""4"";""2"";""3"";""4"";",,
"6864951423;""173968452"";""2018-05-02 20:56:52"";""2018-05-02 21:00:02"";""186.30.180.87"";""Login estudiante24993"";"""";"""";"""";""1"";""Codest24994"";""4"";""4"";""4"";""4"";""3"";""4"";""3"";""5"";""4"";""4"";""4"";""4"";""3"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""1"";""3"";""4"";""4"";""2"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";",,
"6864930314;""173968452"";""2018-05-02 20:31:17"";""2018-05-05 11:55:39"";""186.81.156.130"";""Login estudiante10957"";"""";"""";"""";""1"";""Codest24411"";""5"";""5"";""5"";""5"";""5"";""4"";""3"";""5"";""5"";""3"";""3"";""3"";""10"";""4"";""5"";""4"";""5"";""3"";""4"";""5"";""4"";""4"";""3"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";",,
"6864862675;""173968452"";""2018-05-02 19:06:59"";""2018-05-02 19:10:54"";""200.118.98.212"";""Login estudiante3304"";"""";"""";"""";""1"";""Codest24987"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""5"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""4"";""5"";""4"";""5"";""3"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""2"";""4"";""2"";""3"";""4"";",,
"6864828464;""173968452"";""2018-05-02 18:26:04"";""2018-05-02 18:31:47"";""186.82.197.62"";""Login estudiante11271"";"""";"""";"""";""1"";""Codest25096"";""5"";""5"";""5"";""5"";""5"";""5"";""1"";""4"";""4"";""3"";""3"";""3"";""1"";""3"";""5"";""5"";""5"";""5"";""4"";""4"";""4"";""2"";""5"";""1"";""3"";""4"";""4"";""5"";""3"";""3"";""4"";""4"";""2"";""4"";""4"";""5"";""5"";""4"";""4"";""5"";""4"";""4"";""5"";""5"";",,
