,"respondent_id;""collector_id"";""date_created"";""date_modified"";""ip_address"";""email_address"";""first_name"";""last_name"";""custom_1"";""Apreciado estudiante",Unnamed: 1
El objetivo de esta encuesta es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso Est�tica�con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar," por favor marque �S� y luego haga clic en el bot�n ""Sig."" que aparece abajo. En caso de que no desee participar", por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co,
"Gracias por su colaboraci�n."";""CR_Por favor escriba su c�digo de estudiante."";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";""O10_En promedio"," �cu�ntas horas por semana ha tenido que dedicar a las actividades fuera de clase?"";""O11_�C�mo considera la carga acad�mica del curso?"";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:"";""A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje."";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";",
";"""";"""";"""";"""";""Login estudiante9753"";"""";"""";"""";""1"";""Codest25787"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,
";"""";"""";"""";"""";""Login estudiante10763"";"""";"""";"""";""1"";""Codest25788"";""4"";""4"";""4"";""3"";""4"";""4"";""2"";""5"";""5"";""4"";""4"";""0"";""5"";""3"";""4"";""4"";""3"";""3"";""4"";""4"";""3"";""4"";""4"";""4"";""3"";""5"";""5"";""4"";""2"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""2"";""4"";""2"";""2"";""2"";""5"";""5"";",,
";"""";"""";"""";"""";""Login estudiante8207"";"""";"""";"""";""1"";""Codest25789"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""0"";""0"";""0"";""0"";""0"";""6"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""2"";""4"";""3"";""3"";""4"";""4"";""5"";""3"";""3"";""4"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";",,
";"""";"""";"""";"""";""Login estudiante10719"";"""";"""";"""";""1"";""Codest25790"";""4"";""5"";""5"";""4"";""5"";""5"";""3"";""5"";""5"";""0"";""0"";""5"";""4"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""5"";""5"";""4"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";",,
";"""";"""";"""";"""";""Login estudiante25791"";"""";"""";"""";""1"";""Codest25792"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""3"";""3"";""3"";""7"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""4"";""2"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";",,
";"""";"""";"""";"""";""Login estudiante9377"";"""";"""";"""";""1"";""Codest25793"";""3"";""2"";""4"";""5"";""5"";""5"";""3"";""2"";""2"";""3"";""3"";""0"";""10"";""4"";""4"";""4"";""2"";""4"";""2"";""4"";""2"";""2"";""3"";""4"";""1"";""3"";""5"";""3"";""2"";""4"";""1"";""1"";""4"";""1"";""1"";""4"";""4"";""3"";""1"";""4"";""4"";""2"";""2"";""2"";""2"";""2"";""4"";""4"";",,
";"""";"""";"""";"""";""Login estudiante9751"";"""";"""";"""";""1"";""Codest25794"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""0"";""0"";""0"";""2"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";",,
";"""";"""";"""";"""";""Login estudiante8147"";"""";"""";"""";""1"";""Codest25795"";""2"";""3"";""5"";""4"";""4"";""4"";""1"";""5"";""5"";""3"";""3"";""4"";""16"";""3"";""3"";""4"";""4"";""3"";""4"";""3"";""3"";""2"";""5"";""4"";""5"";""5"";""5"";""3"";""4"";""4"";""3"";""2"";""3"";""3"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""2"";""2"";""4"";",,
";"""";"""";"""";"""";""Login estudiante13311"";"""";"""";"""";""1"";""Codest25796"";""4"";""4"";""5"";""3"";""5"";""4"";""4"";""0"";""4"";""0"";""0"";""4"";""12"";""4"";""5"";""5"";""4"";""4"";""5"";""4"";""4"";""4"";""4"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,
";"""";"""";"""";"""";""Login estudiante9247"";"""";"""";"""";""1"";""Codest25797"";""4"";""5"";""5"";""4"";""4"";""3"";""4"";""5"";""5"";""0"";""0"";""5"";""5"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""5"";""3"";""4"";""5"";""5"";""5"";""5"";""1"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""2"";""2"";""2"";""2"";""2"";""3"";""5"";",,
";"""";"""";"""";"""";""Login estudiante9696"";"""";"""";"""";""1"";""Codest25798"";""4"";""4"";""5"";""3"";""4"";""5"";""3"";""5"";""4"";""2"";""3"";""3"";""7"";""3"";""4"";""4"";""4"";""5"";""4"";""4"";""5"";""4"";""4"";""4"";""3"";""5"";""4"";""3"";""3"";""5"";""5"";""4"";""4"";""3"";""3"";""4"";""3"";""5"";""1"";""2"";""4"";""4"";""3"";""4"";""3"";""4"";""5"";""5"";",,
