,"respondent_id;""collector_id"";""date_created"";""date_modified"";""ip_address"";""email_address"";""first_name"";""last_name"";""custom_1"";""Apreciado estudiante",Unnamed: 1
El objetivo de esta encuesta es conocer su percepci�n sobre las Condiciones Clave del Ambiente de Aprendizaje (CCAA) del curso Mec�nica de S�lidos Deformables�con el fin de identificar fortalezas y debilidades que permitan su mejoramiento. Su participaci�n es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.
Si decide participar," por favor marque �S� y luego haga clic en el bot�n ""Sig."" que aparece abajo. En caso de que no desee participar", por favor cierre esta p�gina.
Si desea saber m�s de este proyecto, por favor comun�quese al correo electr�nico evaluacionconectate@uniandes.edu.co,
"Gracias por su colaboraci�n."";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";""O10_A En promedio"," �cu�ntas horas por semana ha tenido que dedicar a las actividades fuera de clase?"";""O11_�C�mo considera la carga acad�mica del curso?"";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:"";""A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje."";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:"";"""";"""";"""";"""";"""";"""";"""";""Por favor indique qu� tan de acuerdo est� con el siguiente enunciado."";"""";",
"6857786976;""173982014"";""2018-04-27 13:15:57"";""2018-04-27 13:21:07"";""157.253.226.43"";""Login estudiante8293"";"""";"""";"""";""1"";""5"";""5"";""2"";""5"";""5"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""8"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";",,
"6857782589;""173982014"";""2018-04-27 13:13:30"";""2018-04-27 13:17:15"";""157.253.175.96"";""Login estudiante9951"";"""";"""";"""";""1"";""5"";""3"";""2"";""5"";""4"";""3"";""2"";""5"";""5"";""4"";""2"";""3"";""4"";""3"";""3"";""5"";""12"";""4"";""4"";""3"";""5"";""4"";""4"";""4"";""4"";""3"";""3"";""5"";""2"";""5"";""5"";""5"";""5"";""2"";""2"";""3"";""5"";""4"";""4"";""4"";""3"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""4"";""4"";""3"";""4"";""3"";""5"";""2"";",,
"6857782031;""173982014"";""2018-04-27 13:13:11"";""2018-04-27 13:29:12"";""157.253.173.209"";""Login estudiante13778"";"""";"""";"""";""1"";""5"";""5"";""4"";""5"";""5"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""11"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""3"";""5"";""5"";""3"";""5"";""5"";""4"";""5"";""1"";""1"";""4"";""3"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";",,
"6857780932;""173982014"";""2018-04-27 13:12:35"";""2018-04-27 13:20:13"";""157.253.225.246"";""Login estudiante26395"";"""";"""";"""";""1"";""4"";""4"";""2"";""4"";""4"";""1"";""4"";""4"";""5"";""5"";""4"";""5"";""5"";""0"";""0"";""4"";""8"";""4"";""4"";""5"";""3"";""3"";""3"";""3"";""5"";""1"";""4"";""5"";""1"";""5"";""4"";""5"";""3"";""3"";""3"";""3"";""4"";""5"";""4"";""4"";""4"";""3"";""4"";""5"";""5"";""4"";""4"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";",,
"6857780838;""173982014"";""2018-04-27 13:12:32"";""2018-04-27 13:18:37"";""157.253.224.27"";""Login estudiante24117"";"""";"""";"""";""1"";""4"";""5"";""1"";""4"";""4"";""4"";""4"";""5"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""5"";""8"";""3"";""4"";""4"";""5"";""4"";""4"";""4"";""4"";""2"";""4"";""5"";""1"";""5"";""5"";""5"";""5"";""3"";""3"";""4"";""4"";""5"";""3"";""3"";""4"";""2"";""3"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";",,
"6857780787;""173982014"";""2018-04-27 13:12:30"";""2018-04-27 13:27:50"";""157.253.174.133"";""Login estudiante12975"";"""";"""";"""";""1"";""4"";""4"";""2"";""5"";""4"";""2"";""3"";""4"";""2"";""4"";""2"";""4"";""4"";""0"";""0"";""3"";""6"";""3"";""4"";""3"";""1"";""2"";""1"";""1"";""4"";""1"";""1"";""4"";""1"";""5"";""5"";""5"";""5"";""1"";""1"";""5"";""5"";""3"";""3"";""3"";""3"";""2"";""4"";""4"";""4"";""5"";""4"";""4"";""4"";""4"";""4"";""2"";""4"";""4"";""4"";""5"";""2"";",,
"6857780447;""173982014"";""2018-04-27 13:12:19"";""2018-04-27 13:24:11"";""157.253.225.238"";""Login estudiante10680"";"""";"""";"""";""1"";""4"";""3"";""1"";""3"";""5"";""2"";""1"";""4"";""2"";""5"";""4"";""3"";""3"";""3"";""3"";""3"";""7"";""4"";""4"";""4"";""2"";""3"";""3"";""4"";""5"";""2"";""2"";""5"";""2"";""5"";""5"";""5"";""5"";""1"";""1"";""4"";""5"";""5"";""5"";""5"";""5"";""1"";""3"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""5"";""5"";""5"";""4"";""3"";""5"";""5"";",,
"6857780171;""173982014"";""2018-04-27 13:12:09"";""2018-04-27 13:24:25"";""157.253.140.14"";""Login estudiante8559"";"""";"""";"""";""1"";""4"";""4"";""2"";""4"";""4"";""2"";""2"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""2"";""4"";""1"";""3"";""4"";""1"";""2"";""4"";""3"";""4"";""5"";""3"";""3"";""5"";""5"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""2"";",,
"6857779972;""173982014"";""2018-04-27 13:12:02"";""2018-04-27 13:22:13"";""157.253.227.167"";""Login estudiante14161"";"""";"""";"""";""1"";""5"";""4"";""4"";""5"";""4"";""5"";""5"";""4"";""5"";""5"";""2"";""0"";""0"";""0"";""0"";""5"";""2"";""4"";""4"";""4"";""5"";""5"";""4"";""5"";""5"";""3"";""4"";""5"";""3"";""5"";""5"";""5"";""5"";""2"";""2"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""3"";",,
"6857779815;""173982014"";""2018-04-27 13:11:56"";""2018-04-27 13:21:20"";""157.253.171.120"";""Login estudiante11048"";"""";"""";"""";""1"";""4"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";""4"";""3"";""4"";""4"";""4"";""4"";""5"";""8"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""3"";""5"";""5"";""3"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";",,
